,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,00시09분,정저우 (CGO),CZ8130중국남방항공,T1,J09-J18,108, 출발 ,-
1,00시15분,쿠알라룸푸르 (KUL),MH039말레이시아 에어라인스,T1,M11-M16,19, 출발 ,-
2,00시15분,쿠알라룸푸르 (KUL),KE5669대한항공,T1,M11-M16,19, 출발 ,
3,00시16분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,42, 출발 ,-
4,00시29분,두바이 (DXB),EK323Y에미레이트항공,T1,L24-M10,43, 출발 ,-
5,00시29분,두바이 (DXB),KE5951Y대한항공,T1,L24-M10,43, 출발 ,
6,00시31분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46, 출발 ,-
7,00시31분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46, 출발 ,
8,00시31분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46, 출발 ,
9,00시31분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46, 출발 ,
10,00시31분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46, 출발 ,
11,00시31분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46, 출발 ,
12,00시31분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46, 출발 ,
13,00시31분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46, 출발 ,
14,00시31분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46, 출발 ,
15,00시31분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46, 출발 ,
16,00시31분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46, 출발 ,
17,00시36분,이스탄불 (IST),TK091터키항공,T1,E06-E18,22, 출발 ,-
18,00시36분,이스탄불 (IST),OZ6931아시아나항공,T1,E06-E18,22, 출발 ,
19,00시38분,클라크필드 (CRK),PR493필리핀항공,T1,H31-H36,47, 출발 ,-
20,00시42분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F19-F26,110, 출발 ,-
21,00시44분,볼레(아디스아바바) (ADD),ET673에티오피아항공,T1,E19-E26,21, 출발 ,-
22,00시46분,마닐라 (MNL),5J187세부퍼시픽항공,T1,J01-J08,113, 출발 ,-
23,00시49분,도하 (DOH),QR859카타르항공,T1,D25-D34,40, 출발 ,-
24,00시49분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,40, 출발 ,
25,00시49분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,40, 출발 ,
26,00시55분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253, 출발 ,-
27,00시55분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253, 출발 ,
28,00시55분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253, 출발 ,
29,01시14분,싱가포르 (SIN),SQ603Y싱가포르항공,T1,D08-D17,23, 출발 ,-
30,01시14분,싱가포르 (SIN),VA5405Y버진 오스트레일리아,T1,D08-D17,23, 출발 ,
31,01시14분,싱가포르 (SIN),OZ6783Y아시아나항공,T1,D08-D17,23, 출발 ,
32,01시14분,싱가포르 (SIN),AC6306Y캐나다항공,T1,D08-D17,23, 출발 ,
33,01시52분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),VJ975비엣젯항공,T1,E26-E29,115, 출발 ,-
34,01시54분,나트랑 (CXR),VJ839비엣젯항공,T1,E30-E34,121, 출발 ,-
35,05시26분,나트랑 (CXR),QH493뱀부 항공,T1,J12-J16,31, 출발 ,-
36,06시10분,도쿄/나리타 (NRT),7C1162제주항공,T1,M19-N06,16, 출발 ,-
37,06시26분,방콕/수완나폼 (BKK),7C2201제주항공,T1,M19-N06,12, 출발 ,-
38,06시26분,방콕/수완나폼 (BKK),H19957한 에어,T1,M19-N06,12, 출발 ,
39,06시29분,칼리보 (KLO),8Y701팬퍼시픽항공,T1,M01-M10,41, 출발 ,-
40,06시32분,나트랑 (CXR),VJ837비엣젯항공,T1,E01-E04,123, 출발 ,-
41,06시35분,세부 (CEB),8Y601팬퍼시픽항공,T1,M01-M10,30, 출발 ,-
