,Destination,frequency
0,두바이 (DXB),50
1,정저우 (CGO),26
2,쿠알라룸푸르 (KUL),88
3,상하이/푸동 (PVG),336
4,아부다비 (AUH),110
5,방콕/돈므앙 (DMK),30
6,이스탄불 (IST),47
7,다낭 (DAD),310
8,도하 (DOH),30
9,볼레(아디스아바바) (ADD),8
10,암스테르담 (AMS),42
11,나트랑 (CXR),130
12,두옹 당(푸ㅤㄲㅝㄱ) (PQC),36
13,마닐라 (MNL),109
14,도쿄/나리타 (NRT),405
15,괌 (GUM),172
16,하노이 (HAN),242
17,방콕/수완나폼 (BKK),277
18,칼리보 (KLO),70
19,부산 (PUS),200
20,호찌민 (SGN),225
21,홍콩 (HKG),389
22,후쿠오카 (FUK),398
23,베이징 (PEK),219
24,보홀 팡라오 (TAG),10
25,타이베이 (TPE),334
26,오사카/ 간사이 (KIX),440
27,옌타이 (YNT),156
28,타이중/칭촨강 (RMQ),18
29,치앙마이 (CNX),50
30,세부 (CEB),145
31,하이퐁 (HPH),10
32,클라크필드 (CRK),88
33,코타키나발루 (BKI),100
34,화롄 (HUN),5
35,사이판 (SPN),80
36,나고야 (NGO),211
37,칭다오 (TAO),395
38,닝보 (NGB),4
39,광저우 (CAN),80
40,선전 (SZX),99
41,삿포로 (CTS),126
42,충칭 (CKG),32
43,선양 (SHE),80
44,톈진 (TSN),90
45,창춘 (CGQ),43
46,싱가포르 (SIN),224
47,허페이 (HFE),5
48,옌지(연길) (YNJ),78
49,히로시마 (HIJ),8
50,블라디보스토크 (VVO),122
51,홍콩 (HKG)(경유),10
52,옌청 (YNZ),8
53,웨이하이 (WEH),100
54,마카오 (MFM),127
55,오키나와 (OKA),71
56,시안 (XIY),34
57,다롄 (DLC),100
58,미야자키 (KMI),18
59,애틀랜타 (ATL),40
60,보스턴 (BOS),12
61,파리/샤를드골 (CDG),56
62,뉴욕/존에프케네디 (JFK),130
63,샤먼 (XMN),34
64,무단장 (MDG),24
65,니가타 (KIJ),25
66,워싱턴 (IAD),20
67,토론토 (YYZ),23
68,자카르타/수카르노하타 (CGK),60
69,시카고/오헤어 (ORD),20
70,디트로이트 (DTW),20
71,원저우 (WNZ),9
72,런던/히드로 (LHR),27
73,난통 (NTG),10
74,바르샤바 (WAW),7
75,타슈켄트 (TAS),32
76,하이커우 (HAK)(경유),20
77,헬싱키 (HEL),10
78,프랑크푸르트 (FRA),26
79,노보시비르스크 (OVB),8
80,덴파사르 (DPS),52
81,비엔티안 (VTE),60
82,지난 (TNA),70
83,마드리드 (MAD),10
84,누르술탄 (TSE),6
85,델리 (DEL),32
86,가오슝 (KHH),111
87,반다르스리브가완 (BWN),12
88,난징 (NKG),25
89,하바로프스크 (KHV),30
90,하얼빈 (HRB),48
91,항저우 (HGH),44
92,뮌헨 (MUC),7
93,로마 (FCO),35
94,우한 (WUH),20
95,바르셀로나 (BCN),16
96,마쓰야마 (MYJ),10
97,프라하 (PRG),19
98,모스크바 (SVO),40
99,비엔나 (VIE),5
100,카트만두 (KTM),5
101,울란바토르 (ULN),30
102,린이 (LYI),3
103,시안 (XIY)(경유),20
104,로스앤젤레스 (LAX),180
105,텔아비브 (TLV),5
106,센다이 (SDJ),20
107,창사 (CSX),39
108,샌프란시스코 (SFO),96
109,이르쿠츠크 (IKT),8
110,조호바루 (JHB),20
111,시애틀 (SEA),64
112,오클랜드(뉴질랜드) (AKL),24
113,푸케트 (HKT),60
114,방콕/수완나폼 (BKK)(경유),10
115,호놀룰루 (HNL)(경유),50
116,알마티 (ALA),27
117,양곤 (RGN),25
118,댈러스/댈러스포트워스 (DFW),42
119,프놈펜 (PNH),40
120,밴쿠버 (YVR),40
121,시드니 (SYD),50
122,미니애폴리스 (MSP),20
123,대구 (TAE),40
124,브리즈번 (BNE),25
125,스자좡 (SJW),3
126,호놀룰루 (HNL),82
127,도쿄/하네다 (HND),60
128,푸에르토프린세사 (PPS),10
129,청두 (CTU),44
130,샌프란시스코 (SFO)(경유),2
131,양저우 (YTY),2
132,부다페스트 (BUD),4
133,오카야마 (OKJ),20
134,고마쓰 (KMQ),16
135,가고시마 (KOJ),21
136,자무쓰 (JMU),6
137,아오모리 (AOJ),12
138,베니스 (VCE),3
139,야쿠츠크 (YKS),3
140,멕시코시티 (MEX),6
141,황산 (TXN),3
142,장가계 (DYG),8
143,사할린 (UUS),15
144,밀라노 (MXP),8
145,리스본 (LIS),3
146,시즈오카 (FSZ),8
147,쿤밍 (KMG),21
148,뭄바이 (BOM),8
149,시엠립 (REP),12
150,구이린(계림) (KWL),6
151,라스베이거스 (LAS),14
152,하이커우 (HAK),6
153,싼야 (SYX),13
154,코로르 (ROR),12
155,싱가포르 (SIN)(경유),4
156,말레 (MLE)(경유),8
157,다카마쓰 (TAK),8
158,달랏 (DLI),3
159,카이로 (CAI),1
160,골드코스트 (OOL),4
161,베이루트 (BEY),1
162,괌 (GUM)(경유),2
