,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
0,00시03분,두바이 (DXB),EK323Y에미레이트항공,T1,M01-M10,43.0, 출발 ,-
1,00시03분,두바이 (DXB),KE5951Y대한항공,T1,M01-M10,43.0, 출발 ,
2,00시09분,정저우 (CGO),CZ6010중국남방항공,T1,J06-J18,114.0, 출발 ,-
3,00시09분,정저우 (CGO),KE5813대한항공,T1,J06-J18,114.0, 출발 ,
4,00시14분,쿠알라룸푸르 (KUL),D7509에어아시아엑스,T1,F19-F28,111.0, 출발 ,-
5,00시16분,상하이/푸동 (PVG),ZE871Y이스타항공,T1,F07-F18,124.0, 출발 ,-
6,00시18분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46.0, 출발 ,-
7,00시18분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46.0, 출발 ,
8,00시18분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46.0, 출발 ,
9,00시18분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46.0, 출발 ,
10,00시18분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46.0, 출발 ,
11,00시18분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46.0, 출발 ,
12,00시18분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46.0, 출발 ,
13,00시18분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46.0, 출발 ,
14,00시18분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46.0, 출발 ,
15,00시18분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46.0, 출발 ,
16,00시18분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46.0, 출발 ,
17,00시21분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F19-F26,109.0, 출발 ,-
18,00시24분,이스탄불 (IST),TK089터키항공,T1,E06-E18,19.0, 출발 ,-
19,00시24분,이스탄불 (IST),OZ6933아시아나항공,T1,E06-E18,19.0, 출발 ,
20,00시27분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,42.0, 출발 ,-
21,00시30분,이스탄불 (IST),TK091터키항공,T1,E06-E18,22.0, 출발 ,-
22,00시30분,이스탄불 (IST),OZ6931아시아나항공,T1,E06-E18,22.0, 출발 ,
23,00시39분,도하 (DOH),QR859카타르항공,T1,D25-D34,40.0, 출발 ,-
24,00시39분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,40.0, 출발 ,
25,00시39분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,40.0, 출발 ,
26,00시42분,볼레(아디스아바바) (ADD),ET673에티오피아항공,T1,E19-E25,21.0, 출발 ,-
27,01시03분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253.0, 출발 ,-
28,01시03분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253.0, 출발 ,
29,01시03분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253.0, 출발 ,
30,01시51분,나트랑 (CXR),VJ839비엣젯항공,T1,E30-E34,117.0, 출발 ,-
31,01시54분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),VJ975비엣젯항공,T1,E27-E29,105.0, 출발 ,-
32,02시52분,마닐라 (MNL),5J187세부퍼시픽항공,T1,,113.0, 출발 ,-
33,00시01분,클라크필드 (CRK),LJ023Y진에어,T1,F31-F36,109.0, 출발 ,-
34,00시01분,클라크필드 (CRK),KE5763Y대한항공,T1,F31-F36,109.0, 출발 ,
35,00시07분,양저우 (YTY),9C6182춘추항공,T1,C19-E30,17.0, 출발 ,-
36,00시11분,두바이 (DXB),EK323Y에미레이트항공,T1,M01-M11,43.0, 출발 ,-
37,00시11분,두바이 (DXB),KE5951Y대한항공,T1,M01-M11,43.0, 출발 ,
38,00시16분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,47.0, 출발 ,-
39,00시18분,정저우 (CGO),CZ8130중국남방항공,T1,J09-J18,102.0, 출발 ,-
40,00시23분,볼레(아디스아바바) (ADD),ET673에티오피아항공,T1,E19-E25,21.0, 출발 ,-
41,00시26분,이스탄불 (IST),TK091터키항공,T1,E09-E18,31.0, 출발 ,-
42,00시26분,이스탄불 (IST),OZ6931아시아나항공,T1,E09-E18,31.0, 출발 ,
43,00시33분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F21-F28,111.0, 출발 ,-
44,00시35분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46.0, 출발 ,-
45,00시35분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46.0, 출발 ,
46,00시35분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46.0, 출발 ,
47,00시35분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46.0, 출발 ,
48,00시35분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46.0, 출발 ,
49,00시35분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46.0, 출발 ,
50,00시35분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46.0, 출발 ,
51,00시35분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46.0, 출발 ,
52,00시35분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46.0, 출발 ,
53,00시35분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46.0, 출발 ,
